Station Info:, GBS ID: 53158, Name: GBS_04R20_266135      , Type: GBS, TimeZone: -5,Latitude: 42.27972, Longitude: -71.11975, Distance from project:    6.25 mi(  10.06 km), Note: all units are listed in column headings.
Year, Month, Day, Hour, GlobHorizRad (Wh/m2), DirNormRad (Wh/m2),DiffHorizRad (Wh/m2), TotalSkyCover (tenths covered), DryBulbTemp (deg C), DewPointTemp (deg C),RelHumidty (%),Pressure (mb), WindDir (degrees), WindSpeed (m/s)
04,01,01,00,0000,0000,0000,00,  5.2, -2.5,057,1010,236,7.9
04,01,01,01,0000,0000,0000,00,  5.6, -3.3,052,1011,242,7.6
04,01,01,02,0000,0000,0000,00,  5.3, -4.6,049,1012,248,6.6
04,01,01,03,0000,0000,0000,00,  5.3, -5.3,046,1012,265,7.3
04,01,01,04,0000,0000,0000,00,  5.2, -5.9,044,1013,277,6.7
04,01,01,05,0000,0000,0000,00,  4.9, -7.0,042,1015,282,7.7
04,01,01,06,0000,0000,0000,00,  4.5, -6.9,043,1016,283,7.1
04,01,01,07,0000,0000,0000,00,  4.2, -6.5,045,1018,284,6.9
04,01,01,08,0042,0012,0030,00,  4.2, -6.0,047,1018,276,6.9
04,01,01,09,0122,0259,0060,00,  3.7, -5.8,049,1019,268,6.2
04,01,01,10,0208,0392,0073,00,  4.4, -5.3,049,1020,285,7.6
04,01,01,11,0265,0461,0079,00,  4.9, -5.4,047,1020,299,7.4
04,01,01,12,0279,0477,0081,00,  4.9, -5.1,048,1020,301,8.0
04,01,01,13,0247,0439,0078,00,  5.0, -5.1,048,1020,298,7.6
04,01,01,14,0175,0344,0069,00,  5.5, -5.0,046,1020,302,7.5
04,01,01,15,0087,0192,0050,00,  5.6, -5.0,046,1021,309,7.5
04,01,01,16,0017,0004,0013,00,  5.4, -5.8,044,1021,306,6.0
04,01,01,17,0000,0000,0000,00,  4.9, -6.1,044,1021,299,5.0
04,01,01,18,0000,0000,0000,00,  4.4, -5.7,048,1022,290,4.7
04,01,01,19,0000,0000,0000,00,  3.9, -5.7,049,1022,284,4.2
04,01,01,20,0000,0000,0000,02,  3.4, -4.7,055,1022,281,5.1
04,01,01,21,0000,0000,0000,05,  3.0, -4.3,058,1023,299,6.0
04,01,01,22,0000,0000,0000,06,  2.7, -4.5,059,1023,309,4.3
04,01,01,23,0000,0000,0000,03,  2.1, -4.8,060,1023,315,3.5
04,01,02,00,0000,0000,0000,05,  1.1, -5.0,064,1023,318,2.4
04,01,02,01,0000,0000,0000,04,  0.1, -5.0,068,1023,286,2.0
04,01,02,02,0000,0000,0000,00, -0.8, -4.1,078,1023,266,1.6
04,01,02,03,0000,0000,0000,00, -1.2, -3.8,082,1023,254,1.1
04,01,02,04,0000,0000,0000,00, -1.7, -3.2,089,1022,275,1.2
04,01,02,05,0000,0000,0000,03, -1.5, -2.8,091,1021,280,0.4
04,01,02,06,0000,0000,0000,05, -0.7, -2.7,086,1021,145,0.3
04,01,02,07,0000,0000,0000,08, -0.2, -2.6,084,1022,204,1.6
04,01,02,08,0025,0007,0018,08,  0.1, -2.7,081,1022,205,2.3
04,01,02,09,0031,0065,0015,10,  0.2, -2.1,084,1022,179,2.0
04,01,02,10,0052,0098,0018,10,  0.0, -1.2,091,1022,156,2.7
04,01,02,11,0116,0200,0035,09,  0.2, -0.1,097,1021,160,2.4
04,01,02,12,0070,0119,0020,10,  0.6,  0.3,098,1019,154,2.7
04,01,02,13,0062,0111,0019,10,  0.9,  0.7,098,1019,142,2.4
04,01,02,14,0044,0087,0017,10,  1.3,  1.3,100,1018,123,2.6
04,01,02,15,0045,0097,0026,09,  1.4,  1.4,100,1018,131,2.3
04,01,02,16,0004,0001,0003,10,  1.9,  1.6,097,1018,122,2.2
04,01,02,17,0000,0000,0000,00,  2.0,  1.3,095,1018,097,1.8
04,01,02,18,0000,0000,0000,00,  2.6,  1.8,094,1018,074,2.5
04,01,02,19,0000,0000,0000,00,  2.9,  2.2,095,1018,070,2.8
04,01,02,20,0000,0000,0000,10,  3.4,  2.5,093,1018,064,2.4
04,01,02,21,0000,0000,0000,10,  3.2,  2.6,095,1018,059,3.2
04,01,02,22,0000,0000,0000,10,  3.2,  2.5,095,1019,059,2.1
04,01,02,23,0000,0000,0000,09,  3.0,  2.3,095,1018,028,2.0
04,01,03,00,0000,0000,0000,03,  2.7,  2.3,097,1019,015,2.2
04,01,03,01,0000,0000,0000,03,  2.6,  2.2,097,1018,028,2.0
04,01,03,02,0000,0000,0000,05,  2.7,  2.4,098,1018,044,2.5
04,01,03,03,0000,0000,0000,05,  2.6,  2.5,099,1017,048,2.3
04,01,03,04,0000,0000,0000,05,  2.4,  2.4,100,1016,048,2.1
04,01,03,05,0000,0000,0000,05,  2.5,  2.3,098,1015,050,1.7
04,01,03,06,0000,0000,0000,06,  2.4,  2.2,099,1015,070,0.8
04,01,03,07,0000,0000,0000,09,  2.5,  2.1,097,1014,074,0.4
04,01,03,08,0022,0006,0016,09,  2.3,  2.1,098,1015,000,0.0
04,01,03,09,0072,0151,0035,08,  2.1,  2.0,099,1014,230,0.8
04,01,03,10,0052,0098,0018,10,  2.0,  2.0,099,1014,225,1.2
04,01,03,11,0067,0115,0020,10,  1.9,  1.9,100,1013,213,1.5
04,01,03,12,0183,0311,0052,08,  2.3,  2.3,100,1012,211,1.9
04,01,03,13,0063,0110,0019,10,  3.2,  3.2,100,1010,213,2.3
04,01,03,14,0149,0291,0058,06,  3.9,  3.9,099,1010,218,1.7
04,01,03,15,0063,0136,0036,08,  4.6,  4.2,097,1009,223,2.0
04,01,03,16,0018,0005,0014,03,  5.4,  4.7,095,1009,235,2.3
04,01,03,17,0000,0000,0000,08,  5.8,  5.7,099,1009,212,1.6
04,01,03,18,0000,0000,0000,07,  6.1,  5.9,098,1009,226,0.9
04,01,03,19,0000,0000,0000,07,  6.0,  5.6,097,1009,200,0.6
04,01,03,20,0000,0000,0000,10,  5.8,  5.5,097,1009,182,1.4
